num_acao;num_instancia;c_juiz;c_uf_juiz;c_cid_juiz;num_vara;c_uf_vara;c_cid_vara;c_ganho_causa;num_valor
11959;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;106712.01
105424;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;16945.89
95660;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;71899.86
50712;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;41772.40
43305;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;51389.05
79273;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;13190.91
39677;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;36796.82
19231;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;40093.05
116029;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;74024.79
69868;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;8294.05
49140;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;68029.44
10385;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;89995.06
4912;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;105927.31
72064;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;16100.71
40963;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;22703.46
42324;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;266175.89
91818;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;62239.05
26963;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;23327.96
35454;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;31281.06
65092;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;10937.95
29615;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;83994.62
67675;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;8854.27
117077;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;46594.70
64112;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;35018.95
47498;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;222820.34
45335;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;8348.22
7993;1;Jefferson Rodrigues Alves;DF;DF;6;MS;Campo Grande;Funcionario;84820.65
95614;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;18044.75
44570;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;30189.78
97657;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;128135.62
68036;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;128440.82
99173;1;Antonio Lorenzo;RO;Porto Velho;3;RJ;Rio de Janeiro;Funcionario;69707.47
86810;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;83937.49
105411;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;12274.03
7668;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;16535.76
97358;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;48591.84
58873;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;19810.12
76404;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;35631.59
108560;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;165539.37
46976;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;57059.11
71178;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;78232.73
39217;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;68134.91
101482;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;93766.48
33111;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;7230.60
115873;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;99251.15
66073;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;2584.82
40107;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;91935.91
26952;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;65751.00
111694;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;27282.20
71585;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;46421.53
95208;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;73027.04
78725;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;39668.20
17793;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;40502.39
117721;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;9161.30
40977;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;20710.67
17466;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;11260.01
54765;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;89277.37
70038;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;77267.14
69212;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;83621.76
13130;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;159410.66
35061;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;20728.63
46236;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;79395.02
69773;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;34006.68
5208;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;35665.75
44180;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;41848.64
38223;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;15204.79
61666;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;25736.41
68807;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;346546.01
92051;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;328734.02
42176;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;46159.60
63485;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;64289.58
113360;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;80904.84
10540;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;91090.56
108001;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;341970.11
44608;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;55992.63
88464;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;99145.51
65607;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;25948.88
93849;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;26533.73
49459;1;Antonio Lorenzo;RO;Porto Velho;3;RJ;Rio de Janeiro;Funcionario;74490.69
34392;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;13756.05
47240;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;126905.88
7642;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;75275.20
59361;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;235476.79
25183;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;76604.89
25809;1;Antonio Lorenzo;RO;Porto Velho;3;RJ;Rio de Janeiro;Funcionario;84041.42
59369;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;55617.67
27579;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;32196.33
100422;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;71220.27
10424;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;81900.63
106695;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;90786.79
104714;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;98050.15
110444;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;113888.08
108271;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;46184.67
55289;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;27248.45
106388;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;156485.35
18861;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;19602.79
28291;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;92214.66
92703;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;76719.32
59245;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;95320.53
76313;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;40232.60
5124;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;57924.45
97750;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;33995.35
49059;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;51975.14
76474;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;49611.00
66383;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;38592.88
62509;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;82360.97
47653;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;16287.53
61683;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;99524.64
16187;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;42881.22
88282;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;98223.36
16080;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;89851.34
24534;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;19675.65
9178;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;40401.42
113520;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;77640.13
72832;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;59509.40
112350;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;23747.05
106045;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;61584.39
32386;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;27412.99
104695;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;60300.17
108110;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;97720.92
19634;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;9103.22
83975;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;23584.56
35677;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;234054.80
11913;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;181682.10
90480;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;24793.50
67427;3;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Empresa;0
55828;1;Antonio Lorenzo;RO;Porto Velho;3;RJ;Rio de Janeiro;Funcionario;36228.10
33104;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;93359.04
26954;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;49841.02
66237;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;12393.51
84660;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;74249.92
100113;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;37339.15
65833;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;33353.82
74442;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;85888.05
103238;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;307037.20
68301;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;39938.98
87187;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;132265.01
31893;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;79580.17
12948;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;87102.50
104306;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;66588.79
97290;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;59802.43
14997;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;47962.52
115711;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;89161.50
34684;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;34173.57
104794;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;27812.97
89934;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;16402.82
4950;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;51850.28
102655;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;167962.13
47731;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;65561.06
21735;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;144780.62
36119;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;37763.49
116555;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;20112.66
22596;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;64453.40
38802;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;45988.47
67364;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;87862.04
116540;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;34302.54
89865;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;5160.91
88381;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;15991.43
77170;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;61733.83
23094;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;66830.03
96527;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;97509.27
99966;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;10174.79
48627;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;42537.19
65473;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;79827.36
88320;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;40902.42
94496;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;44522.40
116082;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;67269.31
117631;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;47303.23
39300;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;28310.47
119299;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;17710.69
108806;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;23634.21
72820;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;53227.03
61201;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;91786.20
50121;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;45270.49
93417;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;79558.03
113805;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;27543.43
23693;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;91808.46
96405;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;19587.54
31069;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;24567.56
12998;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;16417.83
99535;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;95881.91
76514;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;330294.58
107659;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;14292.06
69746;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;84627.23
49105;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;40111.08
39551;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;38293.43
83062;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;95878.55
77954;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;14499.41
34887;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;47118.02
101199;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;67620.60
46935;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;7534.70
105817;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;40336.42
103174;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;58381.90
87842;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;237713.36
20130;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;91072.89
89341;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;17509.58
67688;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;14271.83
35484;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;79356.09
23207;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;87179.31
118721;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;77435.57
58548;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;39700.86
90370;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;52940.56
102584;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;84010.91
57682;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;31787.85
87172;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;64340.37
118977;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;39349.94
77850;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;96291.21
4370;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;37622.12
34266;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;52716.98
45807;3;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;13712.63
100240;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;87506.84
16014;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;53251.81
85580;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;46873.28
72719;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;64134.63
8485;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;24087.85
54064;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;69032.45
52527;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;70676.35
112147;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;55257.60
114797;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;88646.68
30023;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;43330.53
57506;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;68630.31
41980;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;37004.88
107149;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;196989.78
100585;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;15734.53
115320;2;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;77018.55
61017;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;55731.90
46537;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;44284.33
99030;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;10742.99
40515;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;65070.91
66242;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;73607.18
43152;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;16757.67
82070;3;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Empresa;0
117596;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;29109.90
5966;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;18843.14
